GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inventory Service,com.stationery.inventory.exception,ErrorResponse,40,0,0,0,13,0,9,0,9,0
Inventory Service,com.stationery.inventory.exception,GlobalExceptionHandler,113,0,0,0,35,0,7,0,7,0
Inventory Service,com.stationery.inventory.exception,InsufficientStockException,5,4,0,0,2,2,1,1,1,1
Inventory Service,com.stationery.inventory.exception,ResourceNotFoundException,5,4,0,0,2,2,1,1,1,1
Inventory Service,com.stationery.inventory.exception,ErrorResponse.ErrorResponseBuilder,28,0,0,0,5,0,5,0,5,0
Inventory Service,com.stationery.inventory.controller,InventoryController,339,0,8,0,57,0,16,0,12,0
Inventory Service,com.stationery.inventory.dto,StationeryItemResponse.StationeryItemResponseBuilder,0,77,0,0,0,12,0,12,0,12
Inventory Service,com.stationery.inventory.dto,StationeryItemRequest,27,43,0,0,7,15,7,8,7,8
Inventory Service,com.stationery.inventory.dto,StationeryItemResponse,52,58,0,0,14,20,14,9,14,9
Inventory Service,com.stationery.inventory.dto,StationeryItemRequest.StationeryItemRequestBuilder,0,49,0,0,0,8,0,8,0,8
Inventory Service,com.stationery.inventory.model,StationeryItem.StationeryItemBuilder,0,70,0,0,0,11,0,11,0,11
Inventory Service,com.stationery.inventory.model,StationeryItem,26,85,0,0,9,27,6,17,6,17
Inventory Service,com.stationery.inventory.model,Category,57,0,0,0,10,0,1,0,1,0
Inventory Service,com.stationery.inventory.service,InventoryService,138,399,4,10,15,82,10,14,6,11
Inventory Service,com.stationery.inventory,InventoryServiceApplication,8,0,0,0,3,0,2,0,2,0
